feature,coefficient,absolute_importance
credit_score,-0.9179475188550122,0.9179475188550122
annual_income,-0.7398135610316134,0.7398135610316134
employment_status_part_time,-0.4039907135303838,0.4039907135303838
loan_amount,0.37829571210501894,0.37829571210501894
employment_status_student,0.33643772022312735,0.33643772022312735
employment_status_unemployed,0.2843532570066386,0.2843532570066386
debt_to_income,0.23553388381812293,0.23553388381812293
employment_status_full_time,-0.2065231028663862,0.2065231028663862
age,0.07385218177099538,0.07385218177099538
employment_status_self_employed,-0.012283269359573787,0.012283269359573787
